Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
369,CN,TOP,14,71.40%,2.9,3.3,3.4,6.4,7.7,535,61.50%,25.1,594,0.98,0.38,0.22,0.17,703,15,429,21.40%,21.40%,0,10
Abbedagge,DE,MID,6,16.70%,2,1.8,2.8,3.8,8.6,374,56.60%,27.2,454,1,0.42,0.17,0.17,-276,-10,-295,16.70%,0%,0,-
Atlen,TW,ADC,1,0%,1,3,5,2,7.9,402,100%,11.2,163,0.98,0.38,0.41,0.16,-1106,-4,-1254,100%,0%,0,-
Berserker,KR,ADC,6,16.70%,2,1.3,2,2.7,8.7,374,64.80%,22.2,389,0.88,0.45,0.16,0.1,-743,-17,-168,33.30%,0%,0,-
BeryL,KR,SUPPORT,21,66.70%,3.9,0.8,2.2,8,1,251,65%,13.3,292,2.74,1.64,0.41,0.46,289,-1,180,19%,4.80%,0,-
Bie,VN,SUPPORT,6,16.70%,2,1,3.2,5.3,1.1,222,66.90%,8.5,156,2.41,1.83,0.25,0.48,-286,10,-188,0%,16.70%,0,-
Blaber,US,JUNGLE,6,16.70%,1.7,1,3.2,4.3,5.5,305,88.40%,14.7,256,1.17,0.27,0.3,0.23,-283,-1,-207,33.30%,0%,0,1
Breathe,CN,TOP,10,50%,2.3,3,2.7,3.2,8.7,413,50.30%,20.9,406,0.98,0.38,0.19,0.15,-83,-6,-245,40%,10%,0,4
Brokenblade,DE,TOP,6,16.70%,1.8,2.7,2.8,2.5,7.2,347,66.70%,27.8,476,0.67,0.4,0.1,0.13,-252,-6,-655,50%,0%,0,1
Canyon,KR,JUNGLE,12,58.30%,3.8,3.4,2.7,6.8,5.7,367,73.40%,18.6,426,1.76,0.51,0.45,0.38,552,5,70,41.70%,16.70%,0,1
Caps,DK,MID,6,16.70%,2.1,2.3,2.7,3.3,8,362,58.50%,24.1,424,0.65,0.29,0.17,0.12,-328,1,217,0%,0%,0,1
Chovy,KR,MID,16,62.50%,5.5,3.9,1.4,3.6,9.8,440,59.60%,26.5,552,1.27,0.35,0.33,0.13,157,6,101,25%,0%,0,2
Closer,TR,JUNGLE,6,16.70%,2.9,2,2,3.8,5,302,68.80%,10.7,175,1.26,0.27,0.36,0.23,-136,-8,-547,16.70%,0%,0,-
Comp,GR,ADC,10,40%,3.8,4.3,1.8,2.6,9.6,443,56.50%,23,479,1.18,0.43,0.39,0.13,-368,-6,-118,20%,10%,0,-
Deft,KR,ADC,21,66.70%,4.4,3.1,1.8,4.6,9.5,437,58.60%,26.6,565,1.31,0.5,0.27,0.18,196,2,177,14.30%,14.30%,0,-
Doran,KR,TOP,16,62.50%,2.8,2,2.4,4.8,7.7,369,54.30%,20.9,439,1.03,0.36,0.27,0.22,-301,3,107,18.80%,18.80%,0,6
FBI,AU,SUPPORT,1,0%,2.7,1,3,7,1.7,287,80%,19.3,404,3.33,1.58,0.66,0.28,863,12,-1339,100%,0%,0,-
FBI,AU,ADC,5,20%,1.9,2.4,3.2,3.6,7.7,372,76.30%,27.1,404,0.75,0.48,0.17,0.22,-1237,-26,-676,20%,40%,0,1
Faker,KR,MID,18,72.20%,2.8,3.4,3.1,5.3,7.8,398,49.90%,24.5,612,0.95,0.41,0.18,0.23,-125,-3,-164,11.10%,16.70%,0,5
